n_components,smiles_1,smiles_2,ratio_1,ratio_2,tg
2,C=CC(=O)OCCCCCC,C=CC(=O)OCCCCCC,0.5,0.5,216.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1(C)CC(N)CC(C)(CN)C1,0.666667,0.333333,428.0
2,Oc1ccc(-c2ccc(O)cc2)cc1,O=S(=O)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.5,0.5,493.0
2,O=C(Cl)Cl,CC(C)C(c1ccc(O)cc1)c1ccc(O)cc1,0.5,0.5,422.0
2,C=C(C)C(=O)OCC(C)O,C=C(C)C(=O)OCC(C)O,0.5,0.5,349.0
2,Oc1cccc(O)c1,Oc1cccc(O)c1,0.5,0.5,318.0
2,C=C(C#N)C(=O)OC,C=C(C#N)C(=O)OC,0.5,0.5,433.0
2,C=Cc1ccc(C(C)C)cc1,C=Cc1ccc(C(C)C)cc1,0.5,0.5,360.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.666667,0.333333,328.0
2,C=Cc1ccc(Cl)c(Cl)c1Cl,C=Cc1cc(Cl)c(Cl)c(Cl)c1,0.5,0.5,418.0
2,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=S(=O)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.5,0.5,458.0
2,C=C(C)C(=O)Oc1ccccc1,C=C(C)C(=O)Oc1ccccc1,0.5,0.5,393.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Cc1cc(Cc2cc(C)c(N)c(C)c2)cc(C)c1N,0.666667,0.333333,438.0
2,C=Cc1ccc(OCCC(C)C)cc1,C=Cc1ccc(OCCC(C)C)cc1,0.5,0.5,330.0
2,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,O=C(C(=O)c1ccc(C(=O)C(=O)c2ccccc2)cc1)c1ccccc1,0.5,0.5,645.0
2,C=COC(C)CC,C=COC(C)CC,0.5,0.5,253.0
2,C=CC(F)(F)C(F)(F)C(F)(F)F,C=CC(F)(F)C(F)(F)C(F)(F)F,0.5,0.5,331.0
