n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,22.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1452,0.3538,0.225,0.0055,0.2705,,,36.3
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,0.205,0.295,0.2475,0.2165,0.036,,,29.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,34.0
2,O=C(O)C1CCCC(C(=O)O)C1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,42.0
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.0515,0.3245,0.124,0.188,0.2275,0.034,0.0505,76.4
3,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC(CO)CO,,,,,0.5,0.204,0.296,,,,,53.33
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.199,0.009,0.292,,,,59.54
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,,0.05,0.3295,0.1205,0.466,0.034,,,59.35
2,O=C(O)c1ccc(C(=O)O)cc1,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,196.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCCCCCCO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.357,0.143,0.05,0.213,0.2295,0.0075,,83.8
2,O=C(O)c1cccc(C(=O)O)c1,OCCO,,,,,,0.5,0.5,,,,,,59.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.4275,0.0725,0.239,0.226,0.011,0.024,,96.36
2,O=C(O)C1CCCC(C(=O)O)C1,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,76.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,OCC1CCC(CO)CC1,,,0.0775,0.259,0.1635,0.3775,0.1225,,,37.51
