n_components,smiles_1,smiles_2,tg
2,COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,372.3849973999249
2,CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,354.9298264465297
2,O=C(O)CCC(CCC(=O)O)C(=O)NCC(=O)Nc1cccc2ccccc12,COC(=O)c1cccc(C=CC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)c1,403.9191105427085
2,Cn1ccc(CCNC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccc(O)n1,406.2672009116555
2,CN(C)c1cccnc1C(=O)N(CCC(=O)O)CCC(=O)O,O=C(Cc1ccc(OCC2CO2)cc1)N1CCN(CCC2CO2)CC1,378.7759086074336
2,COc1ccccc1N(CCO)CC(=O)N(CCC(=O)O)CCC(=O)O,COc1cccc(CN(C)C(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1,344.13248797217256
2,O=C(O)CCN1CCCN(C(=O)CC2(CC(=O)O)CCCCC2)CC1,Cc1cc(OCC2CO2)ccc1NC(=O)c1ccccc1OCC1CO1,405.8221961656635
2,Nc1c(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cnn1Cc1ccccc1,Cc1ccc(C(=O)NCCC(=O)NCCCc2ccc(OCC3CO3)cc2)c(OCC2CO2)c1,374.9778650875723
2,Cc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)on1,C(CCN1CCN(CCCCC2CO2)CC1)CC1CO1,308.819368859927
2,CC(Cc1ccc(NC(=O)NC2CCC(C(=O)O)CC2)cc1)C(=O)O,CCCN(CCOCC1CO1)Cc1ccc(COCC2CO2)cc1,356.4281185295467
2,O=C(O)CCN(CCC(=O)O)C(=O)c1cccc(Cn2ccnc2)c1,Cc1cc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)ccc1N1CCCC1,368.74404400442165
2,O=C(O)COCc1ccc(NC(=O)CCCc2ccccn2)cc1COCC(=O)O,CCOc1ccc(OCC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,349.8209872392347
2,O=C(O)CCOc1cccc(NC(=O)C(=O)NC2CCN(CCC(=O)O)CC2)c1,Cn1c(CCC(=O)OCC(=O)N(CC2CO2)CC2CO2)nc2ccccc2c1=O,370.4138270770738
2,Cc1cc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)c2ccccc2n1,O=C(NC1CCC(C(=O)N(CC2CO2)CC2CO2)CC1)C1CCCC1,329.5658343748027
2,CC(=O)Nc1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)c1C,CCNC(=O)CN1CCN(C(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)CC1,367.1422190609308
2,O=C(O)COCCCCCCn1cc(CCOCC(=O)O)cn1,O=C(CC1CCCC1)NCCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,348.45981449651805
2,O=C(O)CCN(CCC(=O)O)C(=O)CCC(=O)N1CCC(O)CC1,Cc1ccc(CN(C(=O)COC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)C2CC2)cc1,354.19861708451026
2,Cc1ccncc1C=CC(=O)N(CCC(=O)O)CCC(=O)O,CNC(=O)c1ccc(OC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,411.6290530980809
2,O=C(O)CCCNC1CC(CNC(=O)COCCCC(=O)O)C1,CCN(C)C(=O)c1cccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,342.5486741604314
2,O=C(O)CCN(CC(=O)O)C(=O)c1ccc(C2CC2)cc1,COCCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,299.9608681512459
2,O=C(O)COCC(COCC(=O)O)NC(=O)c1ccc2ccccc2c1,Cc1cc(C)cc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,362.5908434082408
2,O=C(O)COCCc1ccc(CCOCC(=O)O)nc1,CCc1cc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)ccc1O,352.32526987767966
2,CC(C)NC(=O)Nc1ccccc1C(=O)N(CCOCCOCC(=O)O)CCOCC(=O)O,NC(=O)CN(Cc1ccccc1)C(=O)c1ccc(OCC2CO2)cc1OCC1CO1,370.12834914090695
2,CN(CCC(=O)O)c1nnc(Cc2ccc3ccccc3c2)n1CCC(=O)O,COc1cc(CCCNC(=O)Cc2ccccc2OCC2CO2)cc(OC)c1OCC1CO1,341.47901486680234
2,O=C(O)CCCC(=O)N1CC(O)(CNC(=O)CCCOCCC(=O)O)C1,O=C(NCc1ccc(NC(=O)C2CC2)cc1)C(=O)N(CC1CO1)CC1CO1,371.5830429758347
2,CC(C)c1nccc(N2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)n1,COc1ccc(CNC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,398.6476223517982
2,CN(Cc1ccccn1)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,NC(=O)c1ccc(CN(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)C2CC2)cc1,432.92207947435566
2,CC(C)c1nccc(N2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)n1,COc1cc(C(=O)NC2CCN(CC3CO3)CC2)cc(CC2CO2)c1OC,383.6552632741218
2,CC(C)C(NCc1ccccc1OCC(=O)O)C(=O)O,CCN1CCN(c2ccc(NC(=O)N(CC3CO3)CC3CO3)cc2)CC1,389.202783383409
2,CN(C)c1ccccc1CNC(=O)C(CCC(=O)O)CCC(=O)O,COc1cc(CNC(=O)C=Cc2cccc(OCC3CO3)c2)ccc1OCC1CO1,371.4531764409183
2,CC(C)(CC(=O)O)C(=O)Nc1cccc(OCCC(=O)O)c1,Cc1cc(NC(=O)N(CC2CO2)CC2CO2)ccc1Oc1cccnc1,417.633592373591
2,CN(CCCCCCC(=O)O)CCCCCCC(=O)O,O=C(Cc1ccc(OCC2CO2)cc1)NCC(=O)N1CC=C(c2ccc(OCC3CO3)cc2)CC1,307.5022834284286
2,CC(=O)Cc1ccc(OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1cc(C(=O)N2CCCC2c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,339.3846826206362
2,Cc1c(NC(=O)CC2(CC(=O)O)CCC2)cccc1C(=O)O,O=C(O)c1cccc(C#Cc2cccc(NC(=O)N(CC3CO3)CC3CO3)c2)c1,426.6895695325016
2,Cn1c(C(=O)NC(COCC(=O)O)COCC(=O)O)cc2ccccc21,CN(CC(=O)NCCCCCCC1CO1)C(=O)C1CO1,371.64802974662814
2,O=C(O)CCN(CCC(=O)O)C(=O)Nc1cccc(COCc2ccco2)c1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,366.3438641841435
2,O=C(O)Cc1cccc(C=C2CCc3c2nc2ccccc2c3C(=O)O)c1,CCCN(Cc1ccc(C#N)cc1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,431.5329180671133
2,Cc1cc(C(=O)O)cc(C(=O)O)c1,O=C(OCC(=O)N1CCN(C(=O)C2CC2)CC1)c1ccc(OCC2CO2)cc1OCC1CO1,405.1045348570325
2,O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(Oc3ccccc3)c2)c1=O,CCOc1nc(C)ccc1C(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,425.5899642942711
2,O=C(O)COCC1(COCC(=O)O)CN(Cc2ccccc2)C1,O=C(c1c(OCC2CO2)cccc1OCC1CO1)N1CCC(Nc2ccccn2)CC1,364.1522406452398
2,O=C(O)CCN(CCC(=O)O)C(=O)CNC(=O)c1ccc2c(c1)OCO2,c1ccc(COc2ccc(CNCCc3ccc(OCC4CO4)cc3)c(OCC3CO3)c2)cc1,377.3300633165539
2,O=C(O)CCC(CCC(=O)O)C(=O)NCC1CC(NC(=O)C2CC2)C1,C=CCNC(=O)Nc1ccc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,378.0166627907063
2,Cc1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CCOc1ccccc1CNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,408.6593315120877
2,COCc1cncc(C(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O)c1,c1cc(CN2CCC(CCOCC3CO3)CC2)ccc1COCC1CO1,332.9615496543189
2,CN1CCC(=O)Nc2cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc21,CCOc1ccc(NC(=O)CN(CCOCC2CO2)CCOCC2CO2)cc1,363.6712703849113
2,CCc1ccc(CCC(=O)NC(C)(COCC(=O)O)COCC(=O)O)cc1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3ccc(OCC4CO4)cn3)cc12,361.8623756854281
2,COc1ccc(C(=O)NCC2(COCC(=O)O)CCC2)cc1OCCOCC(=O)O,COc1ccc(C)cc1CCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,344.6327246298532
2,Cc1ccc(N2CCC(C(=O)Nc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)CC2)nc1,c1ccc(CN(CC2CO2)CC2CO2)cc1,375.4352234570574
2,Cc1ccccc1CCNC(=O)C(CCC(=O)O)CCC(=O)O,CCOC(=O)c1cc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC)c2)ccc1OCC1CO1,360.86860282773046
2,O=C(O)COCc1ccc(NC(=O)Nc2cccc(N3CCOCC3)c2)cc1COCC(=O)O,O=C(NCc1cccc(OCC2CO2)c1)c1ccc2ccccc2c1OCC1CO1,399.32869674856073
2,COc1cc(COCC(=O)O)ccc1C(=O)Nc1ncccc1COCC(=O)O,O=C(NCc1cccc(OCc2ccccn2)c1)c1cccc(OCC2CO2)c1OCC1CO1,393.79886745878105
2,CC(C)(CC(=O)O)CC(=O)N(CCNCCC(=O)O)CCc1ccccc1,COc1ccc(C=CC(=O)O)cc1OCC(=O)N(CC1CO1)CC1CO1,375.1180124301189
2,O=C(O)CNCCCNCC(=O)O,O=C(Nc1cccc(OCC(=O)N(CC2CO2)CC2CO2)c1)C1CC1,344.99259383492364
2,NC(=O)c1ccc(CN(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)C2CC2)cc1,O=C(NCc1cccnc1OCC1CO1)c1cccc(OCC2CO2)c1,423.2299011640874
2,O=C(O)CCC(CCC(=O)O)C(=O)N1CCC(C(=O)c2ccccc2)CC1,Cc1ccc(C(=O)N2CCN(C(=O)c3cccc(OCC4CO4)c3)CC2)c(OCC2CO2)n1,419.1248970483719
2,CCCN(CC)CC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccc(OCCN2CCN(C(=O)C(CC3CO3)CC3CO3)CC2)cc1,319.3573414333271
2,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCCn1cnc2ccccc21,Cc1cc(OCC2CO2)ccc1NC(=O)c1cc(CC(C)C)nc(OCC2CO2)c1,380.806969947477
2,CCCN(CC(=O)O)c1ncc(C(=O)O)cn1,COC(=O)CN(C)CCNC(=O)c1cccc(OCC2CO2)c1OCC1CO1,323.7962317183309
2,O=C(O)COCC(COCC(=O)O)NC(=O)Cc1cccc(C2CC2)c1,Cc1cccc(C(=O)NCCNCC(=O)N(CC2CO2)CC2CO2)c1C,362.67628821869295
2,CC(C)(Oc1ccc2c(c1)CCC(=Cc1ccc(C(=O)O)cc1)C2=O)C(=O)O,COc1ccccc1CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,376.3714217579964
2,CCN(Cc1ccc(OC)c(OC)c1)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,C=CCCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,299.5802428543477
2,COc1ccc(OCCOc2c(COCC(=O)O)cc(OC)cc2COCC(=O)O)cc1,O=C(c1cc(OCC2CO2)cc(OCC2CO2)n1)N1CCCN(c2ccccc2)CC1,372.4402904820113
2,Cc1ccccc1OCCN(C)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(NC(=O)c2ccc3oc(OCC4CO4)nc3c2)cc1OCC1CO1,412.4501959645728
2,NC(CCCCCCC(=O)O)C(=O)O,Cc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1N1CCCC1,338.129083363329
2,CC1CCC(N(C)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,CCCCn1cc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c(C)n1,380.25591652390256
