smiles,value
CCC(C)C,-5.14
CCC(C)F,-5.18
CCC(C)(F)F,-5.21
CC(F)C(C)(F)F,-5.11
CCCC(F)(F)C(C)(F)F,-5.21
COCOCOCOCOCOCO,-5.32
COCCOCCOCCOCCO,-5.21
COC(CO)C(F)(F)F,-5.24
COCCCOCCCOCCCO,-5.2
COc1ccc(Cc2ccc(O)cc2)cc1,-6.18
COCOCCCCCOCOCCCCCO,-5.2
COC(=O)NCCOCCOCCNC(=O)OCCO,-5.52
Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1,-6.82
CSCCCCCSCCCCCS,-5.03
COC(=O)CCCCC(=O)OCCO,-5.59
COC(=O)CCCCCCC(=O)OCCO,-5.5
COC(=O)c1ccc(C(=O)OCCO)cc1,-6.18
COC(=O)c1ccc(C(=O)OCCCCO)cc1,-5.97
COC(=O)COC(=O)COC(=O)CO,-6
COC(=O)CCCCCOC(=O)CCCCCO,-5.44
COC(=O)CCOC(=O)CCOC(=O)CCO,-5.73
COc1ccc(CC(=O)O)cc1,-6.21
CCc1ccc(C(=O)O)cc1Cc1ccc(C(=O)O)cc1C,-6.22
CNC(=O)CCNC(=O)CCNC(=O)CCN,-5.69
CNC(=O)CCCCCCNC(=O)CCCCCCN,-5.39
CNC(=O)CNC(=O)CNC(=O)CN,-5.91
CNc1cccc(C(N)=O)c1,-6.41
CCc1ccc(C(N)=O)cc1Cc1ccc(C(N)=O)cc1C,-6.17
COC(=O)Nc1cc(NC(=O)OCCCCCO)ccc1C,-5.79
CN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCCN)C4=O)cc2C1=O,-6.25
COC(=O)c1ccc(C(=O)O)cc1,-6.57
COC(=O)OCCCCCOC(=O)OCCCCCO,-5.46
COc1ccc(OC(=O)O)cc1,-6.41
CNCCCNCCCNCCCN,-5.18
COc1ccc(C(=O)c2ccc(O)cc2)cc1,-6.4
Cc1ccc(C)cc1,-6.39
CCCc1ccc(-c2ccc(C)cc2)cc1,-6.09
COC1C(CO)OC(O)C(O)C1O,-5.48
CCc1ccc(CO)cc1Cc1ccc(CO)cc1C,-5.89
COC(=O)OCCOCCOC(=O)OCCOCCO,-5.52
COC(CCO)(C(F)(F)F)C(F)(F)F,-5.18
Cc1ccc(C)s1,-6.18
COc1ccc(-c2ccc(C(=O)O)cc2)cc1,-6.44
CNc1ccc(N)cc1,-6.21
Cc1cccc(C)n1,-6.6
CCC(CC(CC(CC(C)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,-5.9
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)s1,-6.18
Cc1ccc2oc(-c3ccc4nc(C)oc4c3)nc2c1,-6.81
CCc1ccc(CCc2ccc(CC)cc2)cc1,-5.84
CCCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(C)=O,-5.41
CCC(CC(CC(C)c1ccccn1)c1ccccn1)c1ccccn1,-5.99
CC(=S)c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-6.13
COc1ccc(-c2ccc(-c3ccc(O)s3)s2)s1,-6.12
CC(=S)Oc1ccc(-c2ccc(C)s2)s1,-6.07
COc1ccc(C(=S)c2ccc(O)s2)s1,-6.04
CC(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C)s2)s1,-5.95
COc1ccc(Oc2ccc(O)s2)s1,-6.02
COC(=S)Oc1ccc(OC(=S)Oc2ccc(O)s2)s1,-5.94
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,-6.24
COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)s1,-6.21
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)s2)cc1,-6.28
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,-6.27
COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1,-6.29
Cc1ccc(-c2ccc(C(=S)c3ccc(C)s3)s2)cc1,-6.22
Cc1ccc(-c2ccc(Oc3ccc(C)s3)s2)cc1,-6.21
CC(=S)Oc1ccc(-c2ccc(C)cc2)s1,-6.17
COc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)s1,-6.29
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)cc2)cc1,-6.34
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,-6.31
COc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)cc1,-6.34
COC(=S)c1ccc(-c2ccc(O)cc2)cc1,-6.29
CC(=S)c1ccc(C(=S)c2ccc(C)cc2)s1,-6.16
COc1ccc(C(=S)c2ccc(O)cc2)s1,-6.18
CC(=S)c1ccc(C(=S)c2ccc(C)cc2)cc1,-6.17
COc1ccc(C(=S)c2ccc(O)cc2)cc1,-6.28
CC(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C)cc2)cc1,-6.13
COc1ccc(Oc2ccc(O)cc2)s1,-6.18
Cc1ccc(OC(=S)c2ccc(C)s2)cc1,-6.21
COC(=S)Oc1ccc(OC(=S)Oc2ccc(O)cc2)cc1,-6.18
CCc1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-6.03
CCc1ccc(-c2ccc(C(C)=S)s2)s1,-5.95
COc1ccc(-c2ccc(CO)s2)s1,-5.95
CCc1ccc(-c2ccc(-c3ccc(C)s3)cc2)s1,-6.12
CCc1ccc(-c2ccc(C(C)=S)cc2)s1,-6.05
COc1ccc(-c2ccc(CO)s2)cc1,-6.09
CCc1ccc(Cc2ccc(C)s2)s1,-5.81
CCc1ccc(CC(=S)Cc2ccc(CC(C)=S)s2)s1,-5.65
CCc1ccc(C(=O)c2ccc(C)s2)s1,-6.08
CCc1ccc(C(=O)C(=S)Cc2ccc(C(=O)C(C)=S)s2)s1,-5.99
COC(=O)c1ccc(COC(=O)c2ccc(CO)s2)s1,-6.07
CCc1ccc(C(=S)c2ccc(C)s2)s1,-5.94
COC(=S)c1ccc(COC(=S)c2ccc(CO)s2)s1,-5.82
CCc1ccc(Nc2ccc(C)s2)s1,-5.9
CCc1ccc(NC(=S)Cc2ccc(NC(C)=S)s2)s1,-5.77
CONc1ccc(CONc2ccc(CO)s2)s1,-5.66
