smiles,value,Unnamed: 2
COc1ccc(C(=S)c2ccc(O)s2)s1,-6.04,
COc1ccc(CCOc2ccc(CCO)cc2)cc1,-5.89,
Cc1ccc(C(F)(F)CC(C)(F)F)cc1,-5.8,
CCNc1ccc(-c2ccc(C)cc2)s1,-6.04,
CNC(=O)Oc1ccc(NC(=O)Oc2ccc(N)s2)s1,-6.2,
COc1ccc(-c2ccc(C(=O)O)s2)cc1,-6.38,
COC(=O)C(=S)C(=O)OC(=O)C(=S)C(=O)O,-6.47,
NONC(=O)NONC(=O)NONC(=O)NO,-5.7,
CCc1ccc(-c2ccc(-c3ccc(C)s3)cc2)cc1,-6.19,
COC(=S)NCOC(=S)NCOC(=S)NCO,-5.49,
CCC(=O)c1ccc(-c2ccc(C)s2)cc1,-6.2,
COC1C(CO)OC(O)C(O)C1O,-5.48,
CCCc1ccc(-c2ccc(C)s2)cc1,-5.98,
CNc1ccc(C(=S)NC(=S)OCCN)cc1,-5.81,
CNc1ccc(NC(=S)Nc2ccc(NC(N)=S)s2)s1,-5.89,
COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)s1,-6.21,
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,-6.31,
CCC(=S)CC(=S)CC(=S)CC(C)=S,-5.3,
CNc1ccc(-c2ccc(CN)cc2)cc1,-6.15,
COc1ccc(-c2ccc(-c3ccc(O)s3)s2)s1,-6.12,
COC(F)(F)c1ccc(C(O)(F)F)cc1,-5.92,
CNc1ccc(C(=S)c2ccc(N)cc2)s1,-6.15,
NOC(=O)c1ccc(NOC(=O)c2ccc(NO)s2)s1,-6.14,
COc1ccc(Oc2ccc(O)cc2)s1,-6.18,
CC(=O)C(F)(F)C(=O)C(F)(F)C(=O)C(F)(F)C(=O)C(C)(F)F,-5.77,
CCC(=O)NC(=S)CC(=O)NC(C)=S,-5.8,
NOC(=S)ONOC(=S)ONOC(=S)ONO,-5.2,
CCC(=O)OC(=S)CC(=O)OC(C)=S,-5.87,
CC(=O)c1ccc(C(=O)c2ccc(C)s2)s1,-6.37,
COC(=O)c1ccc(C(=O)OC(=O)c2ccc(C(=O)O)s2)s1,-6.49,
CNC(=S)c1ccc(C(=S)NC(=S)c2ccc(C(N)=S)s2)s1,-5.92,
Cc1ccc(C(F)(F)c2ccc(C(C)(F)F)cc2)cc1,-6.06,
Cc1ccc(C(=O)C(F)(F)C(C)(F)F)cc1,-6.03,
Cc1ccc(CC(F)(F)C(C)(F)F)cc1,-5.78,
COCCOCCOCCOCCO,-5.21,
CCC(C)F,-5.18,
Cc1ccc(C(F)(F)NC(C)(F)F)s1,-5.66,
CNc1ccc(NC(=O)NC(=O)NC(N)=O)s1,-6.29,
COc1ccc(OC(=O)Oc2ccc(OC(=O)O)s2)s1,-6.25,
COc1ccc(C(=O)COc2ccc(C(=O)CO)cc2)cc1,-6.19,
