smiles,value
CCC(C)C,0.4343
CCC(C)F,0.874
CCC(C)(F)F,1.1415
CC(F)C(C)(F)F,1.524
CCCC(F)(F)C(C)(F)F,0.4489
COCOCOCOCOCOCO,0.9897
COCCOCCOCCOCCO,0.3936
COC(CO)C(F)(F)F,0.7546
COCCCOCCCOCCCO,0.5672
COc1ccc(Cc2ccc(O)cc2)cc1,1.1795
COCOCCCCCOCOCCCCCO,0.5413
COC(=O)NCCOCCOCCNC(=O)OCCO,0.573
Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1,3.0398
CSCCCCCSCCCCCS,0.5118
CSc1ccc(S)cc1,2.0372
COC(=O)CCCCC(=O)OCCO,1.0754
COC(=O)CCCCCCC(=O)OCCO,0.8924
COC(=O)c1ccc(C(=O)OCCO)cc1,2.2723
COC(=O)c1ccc(C(=O)OCCCCO)cc1,2.4936
COC(=O)COC(=O)COC(=O)CO,1.2063
COC(=O)CCCCCOC(=O)CCCCCO,0.5062
COC(=O)CCOC(=O)CCOC(=O)CCO,0.7562
COc1ccc(CC(=O)O)cc1,1.5033
CCc1ccc(C(=O)O)cc1Cc1ccc(C(=O)O)cc1C,2.2574
CNC(=O)CCNC(=O)CCNC(=O)CCN,1.1904
CNC(=O)CCCCCCNC(=O)CCCCCCN,0.6934
CNC(=O)CNC(=O)CNC(=O)CN,0.7672
CNc1cccc(C(N)=O)c1,2.356
CCc1ccc(C(N)=O)cc1Cc1ccc(C(N)=O)cc1C,1.8315
COC(=O)Nc1cc(NC(=O)OCCCCCO)ccc1C,0.9199
COC(=O)c1ccc(C(=O)O)cc1,3.2451
COc1ccc(OC(=O)O)cc1,1.4499
CNCCCNCCCNCCCN,0.5296
COc1ccc(C(=O)c2ccc(O)cc2)cc1,2.4594
Cc1ccc(C)cc1,2.6013
CCCc1ccc(-c2ccc(C)cc2)cc1,1.482
COC1C(CO)OC(O)C(O)C1O,0.8344
CCc1ccc(CO)cc1Cc1ccc(CO)cc1C,1.6106
COC(=O)OCCOCCOC(=O)OCCOCCO,0.4954
COC(CCO)(C(F)(F)F)C(F)(F)F,0.4911
Cc1ccc(C)s1,2.9681
COc1ccc(-c2ccc(C(=O)O)cc2)cc1,2.4015
