smiles,value
COC(=S)C(F)(F)C(O)(F)F,3.6605
CCc1ccc(C(=S)c2ccc(C)cc2)cc1,2.874
CNc1ccc(-c2ccc(-c3ccc(N)cc3)cc2)cc1,1.5312
CCCc1ccc(C(C)=S)s1,3.3272
COCCOCCOCCOCCO,0.3936
Cc1ccc(-c2ccc(C)s2)s1,2.9681
COc1ccc(NCO)s1,0.8203
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,3.3503
Cc1ccc(-c2ccc(C(F)(F)C(C)(F)F)cc2)cc1,2.3351
CC(=O)Oc1ccc(C(C)=S)s1,3.8482
CNc1ccc(NC(N)=S)s1,2.2133
COc1ccc(-c2ccc(C(=O)O)cc2)cc1,2.4015
Cc1ccc(C(=S)c2ccc(C(=S)C(=O)Nc3ccc(-c4ccc(C)s4)cc3)s2)s1,3.9089
Cc1ccc(C(F)(F)c2ccc(C(C)(F)F)cc2)s1,2.9023
COc1ccc(-c2ccc(C(=O)O)cc2)s1,2.3086
CSCCCCCSCCCCCS,0.5118
CCc1ccc(C(N)=O)cc1Cc1ccc(C(N)=O)cc1C,1.8315
CCC(=O)c1ccc(O)cc1CC(=O)c1ccc(O)cc1C,2.3793
CCc1ccc(Cc2ccc(C)cc2)cc1,1.0649
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,2.752
CCC(=O)CC(C)=O,1.5258
CC(=O)C(F)(F)CC(C)(F)F,3.352
COc1ccc(C(=S)c2ccc(O)cc2)s1,3.2177
Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1,3.0398
Cc1ccc(C)s1,2.9681
COC(=O)c1ccc(C(=O)O)cc1,3.2451
NOc1ccc(C(=S)NO)s1,2.8874
CCC(C)(F)F,1.1415
COCC(=S)COCC(=S)COCC(=S)CO,2.5664
CNc1ccc(Nc2ccc(N)s2)s1,1.4393
CCC(=O)Cc1ccc(C)s1,1.6069
CCC(=O)NC(C)=O,1.5835
CCNC(=O)C(C)=S,4.0732
CCc1ccc(C(=O)C(C)=S)s1,3.3428
CCc1ccc(Nc2ccc(C)cc2)cc1,0.9546
COC(=O)Nc1cc(NC(=O)OCCCCCO)ccc1C,0.9199
CC(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(C)s3)s2)s1,2.7059
CCC(=O)Nc1ccc(C)cc1,1.369
CNC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(N)cc3)cc2)cc1,2.2298
NOC(=O)c1ccc(NO)s1,2.6486
CCC(=O)C(=S)C(C)=O,4.8698
CNC(=O)CNC(=O)CNC(=O)CN,0.7672
CCCNC(C)=S,1.6837
CC(=S)c1ccc(C(=S)c2ccc(C)cc2)s1,4.1807
COC(=O)OCOC(=O)OCOC(=O)OCO,0.7529
CC(=S)c1ccc(C(F)(F)C(C)(F)F)cc1,3.9184
COCNCOCNCOCNCO,0.7624
CC(=O)NC(F)(F)C(C)(F)F,2.4953
CCCc1ccc(-c2ccc(C)s2)s1,1.9411
CC(=S)C(F)(F)c1ccc(C(C)(F)F)cc1,4.0037
COC(=O)CCCCCCC(=O)OCCO,0.8924
COc1ccc(-c2ccc(-c3ccc(O)s3)s2)s1,2.4093
CNc1ccc(C(=O)C(N)=S)cc1,4.0513
CNc1ccc(C(=O)c2ccc(N)s2)s1,3.0129
CCNC(=S)C(C)=O,3.7481
CNc1ccc(-c2ccc(-c3ccc(N)s3)s2)s1,2.2798
CCc1ccc(-c2ccc(C(C)=S)cc2)s1,2.9754
COCc1ccc(CO)s1,1.4146
CNc1ccc(-c2ccc(CN)s2)s1,1.6017
Cc1ccc(C(F)(F)NC(C)(F)F)s1,2.4083
CCc1ccc(C(=O)c2ccc(C)s2)s1,2.8498
