smiles,value
CCC(C)C,7.6997
CCC(C)CC,7.9012
CCCC(C)CC,7.2705
CCC1CCC(C)C1,7.9703
CCC(C)CCCC1CCCCC1,7.5725
CC(C)C,7.4047
CC=CC=CC=CC=CC=CC=CC,0.9567
CC=CCCCCC=CCCCCC,5.7962
CC1CCC1C1CCC1C1CCC1C,6.5419
CCC1(C)CCCCC1,7.3387
CCC(C)c1ccc(C(=O)OCC(C)C)cc1,4.8032
CCC(C)O,7.5488
CCC(C)C#N,7.4435
CCC(C)(C)C#N,7.1863
CCC(C)OC(C)=O,5.9373
CCC(C)CCc1ccc(C)cc1,4.5772
CC(C)C(C)O,7.9156
CC(F)C(C)(F)OC(F)(F)F,7.802
CCc1ccc(C(=O)C(C)CC)cc1,3.9853
CCC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,6.0228
CCC(C)OC(=O)CC1CCCC1,6.4741
CCC(C)N1CCCC1=O,5.5902
CCC(C)C(=O)O,6.1071
CCC(C)C(=O)OC(C)C,6.455
CCC(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.4578
CCC(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7185
CCOC(=O)C(C)(C)CC,6.2424
CCC(C)(C)C(=O)Oc1ccccc1,4.8118
CCC(C)(C)C(=O)OCCc1ccccc1,4.9946
CCC(C)(C)C(=O)OCC(F)(F)C(F)F,5.3983
CCC(C)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,5.3218
CCC(C)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,6.1125
CCOCCOC(=O)C(C)(C)CC,5.9514
CCC(C)C(N)=O,6.3764
CCC(CC)OC(=O)C(C)CC,6.2722
CCC(C)C(=O)OCF,6.1736
CCC(C)C(=O)OCCCCSC,5.1007
CCSCCCOC(=O)C(C)CC,5.1212
CCC(C)C(=O)OCCSCCCC#N,5.1226
CCC(C)(C)C(=O)OCCC#N,6.2508
CCC(C)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.0236
CCOC(=O)C(C)(C#N)CC,6.1989
CCCC(C(=O)OC)C(C)C(=O)OC,6.3252
CCC(C)(C#N)C(=O)OC(C)C,5.8301
CC1C(=O)OC(=O)C1C1C(=O)OC(=O)C1C,6.0081
CCC(C)F,8.3099
CC(F)C(C)(F)F,6.8451
CCCC(F)(F)C(C)(F)Cl,7.4828
CCCC(F)(F)C(C)(F)F,9.1316
CC(F)(F)C1(F)C(F)(F)C(C)(F)C(F)(F)C1(F)F,6.9544
CCCC(Cl)C(C)Cl,6.4523
CC=CC(CC)(C(F)(F)F)C(F)(F)F,5.7329
