smiles,value
CCC(=O)c1ccc(C(C)=S)cc1,2.4669
CCC(C)C(=O)OCCCCSC,5.1007
Cc1cccc(-c2ccc(-c3ccc(C)s3)s2)n1,2.0464
CCCC(C(=O)OC)C(C)C(=O)OC,6.3252
CCc1ccc(CC(C)=S)cc1,2.9253
CCc1ccc(C)cc1Cc1ccc(C)cc1C,2.5648
CCNOc1ccc(C)s1,4.0591
NOC(=O)C(=S)NOC(=O)C(=S)NO,1.8481
CCC(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C)(C#N)C#N,6.2667
CCC(C)(C)C(=O)OCCc1ccccc1,4.9946
CCc1ccc(-c2ccc(C(C)=S)cc2)cc1,2.5561
CC(=O)C(=S)OC(C)=S,1.4146
CC(=O)c1ccc(C(=O)C(C)=S)s1,1.1902
Cc1ccc(-c2ccc(C)s2)s1,0.9894
CCc1ccc(-c2ccc(-c3ccc(C)s3)cc2)s1,2.512
CCC(=O)c1ccc(C(C)=S)s1,2.3542
CC=CC1CC(C)C2CC=CC12,5.6741
CCC(=O)C(=S)C(C)=O,1.4812
CNc1cccc(C(N)=O)c1,3.2399
CNC(=O)OC(N)=O,4.9145
CCCCC(C)=O,5.13
COC(=O)CCOC(=O)CCOC(=O)CCO,6.684
CCC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,6.0228
CC(C#N)C(C)(C#N)C#N,5.8992
CNc1ccc(C(=S)NC(=S)OCCN)cc1,2.4106
CONC(=S)CONC(=S)CONC(=S)CO,3.2554
CCc1ccc(NC(C)=S)s1,2.8469
COC(=O)c1ccc(C(=O)O)s1,3.202
CCC(=O)c1ccc(-c2ccc(C)s2)cc1,2.5243
CCCC(=O)c1ccc(C)cc1,3.6964
CNC(=O)CCCCCC(=O)NCC1CCC(CN)CC1,5.2823
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,1.1128
COC(CO)C(F)(F)F,7.4158
CCNCC(C)=S,2.6614
CCCc1ccc(-c2ccc(C)s2)cc1,2.9495
Cc1ccc(NC(F)(F)C(C)(F)F)s1,3.3898
CCC(C)(C)C#N,7.1863
Cn1c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccc(N)cc5)cc4)c(=O)c3cc2c1=O,2.3234
CNc1ccc(C(=O)c2ccc(N)s2)cc1,2.3459
[2H]C(C)=C([2H])C,0.6605
CC(=O)c1ccc(Oc2ccc(C)s2)s1,2.4838
COC(C)COC(C)COC(C)CO,6.9903
CNC(=O)OC(N)=S,2.5812
CC(=O)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,2.5479
CNc1ccc(C(=S)c2ccc(N)cc2)cc1,1.8785
CCc1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,2.7314
