smiles,value
CCCCCCCCCCCCCC,6.8972
CCC(C)C,6.5196
CCC(C)CC,6.517
CCCC(C)CC,6.7336
CCC(C)CC(C)C,6.7394
CCC1CCC(C)C1,6.9613
CCC(C)CCCC1CCCCC1,6.3703
CC=CCCCC=CCCCC=CCCCC,4.6373
CC=CCCC=CCCC=CCCC,5.2133
CC=CC=CC=CC=CC=CC=CC,1.3994
CCCC(C)C(C)C,6.6781
CC=CCCCCCCCCC=CCCCCCCCCC,5.8277
CC=CCCCCCCCCCCC,5.8787
CC=CCCCCCCC=CCCCCCCC,5.8437
CC=CCCCCC=CCCCCC,5.7726
CC1CCC1C1CCC1C1CCC1C,6.0897
CC=CCCCCCC=CCCCCCC,5.8026
CC=CC1CCC(C)C1,5.4117
CC=CC(C)C(C)CCC=CC(C)C(C)CCC,4.9643
CCC1(C)CCCCC1,6.3291
CCC(C)c1ccccc1C(=O)OC,5.0713
CCC(C)c1ccccc1Cl,2.4139
CCC(C)c1cccc(C)c1,5.185
CCCCCCc1ccc(C(C)CC)cc1,4.9872
CCCCCCCCCCCCCCCCc1ccc(C(C)CC)cc1,5.0097
CCC(C)c1ccc(C(O)CCN2CCOCC2)cc1,3.8601
CCC(C)c1ccc(C(=O)CCN2CCCCC2)cc1,2.7084
CCC(C)c1ccc(C(=O)OCC(C)C)cc1,4.9663
CCCCCCOC(=O)c1ccc(C(C)CC)cc1,4.7078
CCC(C)c1ccc(C(=O)Cc2ccccc2)cc1,3.6382
CCC(C)c1ccc(C(=O)c2ccccc2)cc1,3.5289
CCC(C)c1ccc(F)cc1,2.0489
CCC(C)c1ccc(C)cc1C,4.8585
CCC(C)c1cc(C)ccc1C,4.9137
CCC(C)c1cc(Cl)ccc1Cl,2.6378
CCC(C)c1cc(C)ccc1F,4.5949
CCCCOc1ccc(Br)cc1C(C)CC,4.5078
CCOc1ccc(Br)cc1C(C)CC,4.458
CCC(C)c1cc(Br)ccc1OC(C)C,4.6199
CCC(C)c1ccc(C)c(C)c1,4.4861
CCC(C)c1ccc(Cl)c(C)c1,4.762
CCC(C)c1ccc(Cl)c(Cl)c1,2.3069
CC(F)(F)C(C)(F)c1ccccc1,5.6014
CCC(C)c1ccc(C(=O)CCN2CCOCC2)cc1,3.2629
CCC(C)c1ccc2ccccc2c1,3.6351
CCC(C)c1ccncc1,2.5368
CCC(C)c1cccc(C)n1,5.0497
CCC(C)c1ccc(C)nc1,4.8601
CCC(C)n1cc2ccccc2n1,3.7572
CCC(CC(C)(C#N)C(=O)OC)c1ccccc1,5.5884
CCC(C)O,6.3648
CCC(C)C#N,7.7741
CCC(C)(C)C#N,7.6319
CCC(C)n1c2ccccc2c2ccccc21,4.0449
CCC(C)OC,5.5335
CCCCCOC(C)CC,5.9056
CCC(C)OC(C)=O,6.8523
CCC(=O)OC(C)CC,6.5454
CCC(C)OC=O,6.9603
CCC(C)OCc1ccccc1,5.0639
CCC(C)OC(=O)C(F)(F)F,6.7842
CC=CC(C)OCC=CC(C)OCC,5.0501
CC=CCC(C)(CC)C(=O)OCC=CCC(C)(CC)C(=O)OCC,5.4945
CCC(C)CCc1ccc(C)cc1,5.1686
CCCCCCCCCCCCOC(C)CC,5.4919
COC(C)C(C)C,5.326
CC1CC(C)(C#N)C1,6.8104
