smiles,value
COC(C)COC(=O)CCCC(=O)O,6.7519
COc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC(=O)O)cc2)C(=O)OC(C)C)cc1,5.0034
COC(O)CCl,7.2522
CCCC(Cl)C(C)C,6.7613
CCC(O)OC,6.1349
CCC(C)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,6.5517
CC=CC1CC(C)C(C(=O)OC)C1C(=O)OC,5.0643
CNC(=O)C1=C(C(=O)NCc2cccc(CN)c2)C2C=CC1C2,3.5629
CN1CCN(C(=O)OCC(C)(C)COC(N)=O)CC1,5.8163
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(C)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,2.3311
COc1ccc(C2(c3ccc(OC(=O)O)c(Cl)c3)CCCCC2)cc1Cl,4.9504
CC(=O)Oc1ccc(C(=O)Nc2cc(C(=O)Nc3ccc(C)cc3)cc(C(=O)Nc3ccc(-c4nnc(C)o4)cc3)c2)cc1,3.4669
COC(=O)CCCCS(=O)(=O)CCCCC(=O)OCCCCCO,6.9262
Cn1nc(-c2ccc(Oc3ccc(C(=O)Nc4ccc(Oc5ccc(NC(=O)c6ccc(N)cc6)cc5)cc4)cc3)c3ccccc23)c2ccccc2c1=O,3.2201
COC(=O)NCCCCCCNC(=O)OCCOCCOCCO,6.2098
COC(=O)NNC(=O)CCCCCCCCC(=O)NNC(=O)OCCCCCCCCCCO,5.6458
COC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)OCCCCCCCCCCCCO,5.3312
COc1ccc(OC(=O)c2ccc(OCCCCCCCCCCOc3ccc(C(=O)O)cc3)cc2)cc1S(=O)(=O)c1ccccc1,4.4922
CCc1ccc(-c2ccc(-c3ccc(C)s3)cc2)s1,3.3769
COC(=O)CCC=CCCC(=O)OCCCCCCCCCCCCCCCCO,6.0336
Cn1c(=O)c2cc3c(=O)n(-c4ccc(Oc5cccc(Oc6ccc(N)cc6)c5C#N)cc4)c(=O)c3cc2c1=O,2.6202
COC(=O)c1cccc(C(=O)OC2CC3CC(O)CC(C2)O3)c1,4.6897
COC(=O)CCn1c(C)ccc1C,2.7978
CNC(=O)CCCCCCCCCCCN,6.0986
CCCCCOC(=O)C(C)CC,6.4787
CN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(N)cc3)C4=O)cc2C1=O,3.4906
CCc1ccc(C(N)=O)cc1Cc1ccc(C(N)=O)cc1C,5.0419
CC(=O)NNC(=O)c1cnc(C)cn1,3.0611
CCCCC1CCN(C(=O)SSCCCCSSC(=O)N2CCC(C)CC2)CC1,5.001
CCCNC(C)=S,3.7044
CNC(=O)C(=O)NCCCCNC(=O)CCCCCCC(=O)NCCCCN,4.7855
CCNC(=O)c1ccc(C)s1,4.353
CCCCCCCCC(=O)OC1COC(C)OC1,6.6422
Cc1ccc(C)c(C(=O)c2c(F)c(F)c(F)c(F)c2F)c1,4.0903
CCCCCCCCOc1ccc(-c2cc(C)sc2C)cc1,2.6404
CNC(=O)CCCCCCCCCCCC(=O)NCCCCCCCCCN,5.7342
CC=C(C)c1cccs1,3.6662
CNC(=S)c1ccc(O)cc1NC(=S)c1ccc(O)cc1N,3.2939
COC(=O)C1CCC(C(=O)OCCCCCCO)CC1,6.5806
CN1CCCC1C(=O)N1CCCC1C(N)=O,5.5773
CCCc1cccc(C)c1,5.4567
COC(=O)CCCC(=O)OCCCCCCCCCCCCCCCCCCCCO,6.5682
CCC(OC(C)=O)C1C(=O)N(c2ccc(C)cc2)C(=O)C1(C)Cl,4.7107
CCC(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,6.784
COC(C)C(=O)NC(C)C(=O)O,5.6199
COP(=O)(Oc1ccccc1)Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,4.5449
COC(=O)CCC(=O)OCc1ccc(CO)cc1,5.464
COC(=O)CSCCSCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,5.0898
Cc1cc2sc3cc(C)sc3c2s1,1.8464
Cc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-c5nnc(C)n5-c5ccc(C)cc5)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,3.9499
CCNc1ccc(N)cc1CNc1ccc(N)cc1C,4.0626
CC1C2CCC(C2)C1C1C2CCC(C2)C1C,6.1739
CCC(C)OC(=O)C(F)(F)F,6.7842
CNC(=O)CCCCCCCCCCCCCCCCC(=O)NCCCCN,6.0758
CNC(C)(C)C(C)(C)C(N)=O,5.4856
CCC(C)c1ccc(Cl)c([N+](=O)[O-])c1,1.4833
CN1CCN(CCS(=O)(=O)CCN)CC1,4.9753
CNC(=O)CNC(=O)CCNC(=O)CNC(=O)CCN,6.1234
CCCCCCCCCCCCCCCCC(C(=O)NC)C(=O)NCCCCCCN,6.0328
CC1=CC2=CC(C)=NC2=N1,1.0627
CCCCSc1cc(-c2ccc(-c3ccc(C)cc3)cc2)sc1C,2.8499
CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccc(-c4ccc(C)s4)s3)s2)s1,1.4486
CNC(=O)CCCCCCCCCC(=O)NCCCCCCCCCN,5.9794
COC1C(COCO)OC(O)C(O)C1O,5.9663
CCC(C)(C)C(=O)OCCc1ccccc1,5.7104
CCCCCCC(C)C,7.1803
Cc1ccc(-c2nnc(-c3cccc(-c4nnc(C)o4)c3)o2)cc1,3.4013
CN(CCN)C(=O)c1ccc(F)c(F)c1,5.106
CNC(=O)CCCCCCCCNC(=O)CCCCCCCCN,6.101
CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc(C)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,2.699
COc1ccc(C(=C(Cl)Cl)c2ccc(OCO)cc2)cc1,4.1966
Cc1ccc2cc(C)n(C(C(=O)NO)n3ccc4ccccc43)c2c1,3.8694
CC(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc(C)n2)c1,4.479
COC(=O)Nc1ccc(-c2ccc(NC(=O)OCCO)c(C)c2)cc1C,4.3385
COc1ccc(C(=O)NCCO)cc1,5.0314
COC(=O)OCC1CCC(CO)CC1,6.8655
COC(=O)CCCCCCCCC(=O)O,5.9944
COc1ccc(NC(=C(C#N)C#N)c2ccc3cc(C(Nc4ccc(O)cc4)=C(C#N)C#N)ccc3c2)cc1,2.9429
COC(C)COCOC(C)COCO,6.2765
COC(CBr)COC(CBr)COC(CO)CBr,6.2128
COc1ccc(OC(=O)c2ccc(C(=O)O)cc2)cc1C1CC2CCC1C2,3.8597
COC(=O)C(=O)OCCCCCCCCCCO,5.4658
CCCCC(Cl)C(C)Cl,6.8622
CN=C1C=CC(N)C=C1Cl,4.0784
Cc1cc(C(=O)OCC(F)(F)C(F)(F)C(F)(F)F)c(C)s1,2.8607
CCOC(=O)CCn1c2ccc(C)cc2c2cc(C)ccc21,3.5811
CCC(C)OCC(=O)OC,5.3903
Cc1cc(COCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)c(C)s1,2.4332
COc1ccc(Oc2ccc(OCCCCCCOC(=O)OCCCCCCCCOC(=O)OCCCCCCO)cc2)cc1,4.4708
CC=Cc1cccc(C)c1,3.0128
COC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)OCCCCCCO,5.8108
COC1CCC(OC(=O)NCCNC(=O)O)CC1,6.0582
CNC(=O)CCCCCCCCCCCCCCC(=O)NCCCCCCCCCCCCN,5.8878
COC(F)(F)CC(O)(F)F,9.1417
COC(=O)CCCCC(=O)OCCCCCCCCCC#CC#CCCCCCCCCCO,5.4365
COC(COC(F)(C(F)(F)F)C(F)(F)F)C(O)COC(F)(C(F)(F)F)C(F)(F)F,6.5255
COCCCCCC(=O)NCCCCCCNC(=O)CCCCCO,5.7609
CCC(C)c1cc(O)ccc1O,2.0107
CCC1CCC(c2ccc(NC(C)=O)cc2)(c2ccc(N3C(=O)c4ccc(C)cc4C3=O)cc2)CC1,2.9185
CCc1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,3.7798
CC(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4o3)cc(N3C(=O)c4ccc(C)cc4C3=O)c1)C2=O,2.6591
Cn1c(=O)c2cc3c(=O)n(CCCCCCOC(=O)OCCCCCCCCCCCCOC(=O)OCCCCCCN)c(=O)c3cc2c1=O,3.821
CCC(C)(C#N)C(=O)OC(C)C,6.4883
Cc1ccc(C(=O)C(F)(F)C(C)(F)F)cc1,4.443
Cc1cc2cc(C)sc2s1,3.3358
CNC(=O)CCC=CCCC(=O)NCCCN,5.7523
