smiles,value
COC(=O)c1cccc(C(=O)OCCCCCCCCCCO)c1,1.034
CCC(C)OC(=O)C(C)CC(C)OC(=O)C(C)C,1.13
C[Si](C)(O)O[SiH3],0.963398
CNC(=O)C(C)(C)CNC(=O)C(C)(C)CN,1.189
CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(C)cc5C4=O)cc3)cc2)cc1,1.37
Cc1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(C)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,1.27
COc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,1.362976923
COC(=O)CCCCCN(C)c1ccc(N=Nc2ccc(S(=O)(=O)CCCCCCO)cc2)cc1,1.18
CCC(CC(C)(C#N)C#N)c1ccc(CCl)cc1,1.18
CNC(=O)CCCCCCCCC(=O)NCCCCCCN,1.085142857
CC#Cc1cc(OCCOCCOC)c(C#Cc2ccc(C)c([N+](=O)[O-])c2)cc1OCCOCCOC,1.138
COc1ccc(C2(c3ccc(OC(=O)c4cccc(C(=O)O)c4)cc3)c3ccccc3-c3ccccc32)cc1,1.211
COC(COC=O)COC(CO)COC=O,1.26
COc1ccc2cc(C(=O)Oc3ccc(OC(=O)c4ccc5cc(Oc6nc(O)nc(N7CCN(C)CC7)n6)ccc5c4)c4c3C(=O)c3ccccc3C4=O)ccc2c1,1.184
COc1c(C(=O)OCCOCCOC(=O)c2ccc3ccccc3c2Oc2nc(O)nc(N3CCCCC3)n2)ccc2ccccc12,1.124
CCCCC=C(C)c1ccc(Cl)cc1,1.173
CCCCCCCCCCCCCCCCOC(=O)c1cc(N)cc(Br)c1-c1c(Br)cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)cc1C(=O)OCCCCCCCCCCCCCCCC,1.18
CC(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(-c3cc(C)c(N4C(=O)c5ccc(C)cc5C4=O)c(C)c3)cc1C)C2=O,1.272
CNC(=O)c1ccc2c(c1)C(C)(c1ccc(C(=O)NCCCCCCN)cc1)CC2(C)C,1.121
CCC(C)CSC(=O)C(C)CC(C)CSC(=O)C(C)C,1.299
CNC(CCC(=O)OCc1ccccc1)C(N)=O,1.276875
CN1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N)cc5)cc3)C4=O)c2C1=O,1.332
CN(C=O)CCCCN(C=O)CCCCN,1.1
CN1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(N)cc3)C4=O)cc2C1=O,1.452344167
COc1ccc(C(c2ccc(OC(=O)O)cc2)C(C)C)cc1,1.18
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc(C)cc6C5=O)cc4)cc3)cc1)C2=O,1.40379
CCCC(c1ccccc1)C(C)c1ccccc1,0.997
COc1c(C(=O)Oc2ccccc2OC(=O)c2ccc3ccccc3c2Oc2nc(O)nc(N3CCCCC3)n2)ccc2ccccc12,1.2
CNC(C)C(=O)NCCCCC(N)=O,1.08
Cc1ccc2c(c1)C(=O)N(c1cc(C)c(-c3c(C)cc(N4C(=O)c5ccc(C(C)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C)c(C)c1)C2=O,1.355
COC(=O)Nc1ccc(C)c(NC(=O)OC2CCN(c3ccc(C=CC4=CC(=C(C#N)C#N)C=C(C=Cc5ccc(N6CCC(O)CC6)s5)O4)s3)CC2)c1,1.28
CCC(=O)Oc1ccc(C(CC)(CC(C)(C#N)C#N)OC(C)=O)cc1,1.21
CN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(CCCCCCCCN)C4=O)cc2C1=O,1.335
C=C(CO)COCC(=C)COC(=O)OC,1.332
CC(=O)Nc1ccc(N2C(=O)c3ccc(C)cc3C2=O)cc1,1.46
Cc1ccc2c(c1)C(=O)N(c1cccc(C(c3cccc(N4C(=O)c5ccc(C(C)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)c1)C2=O,1.463
CC=CC1CC(C)C2C(=O)N(CCCC)C(=O)C12,1.15
CSC(C)COCC=CSC(C)COCC=CS,1.117
COC(C)(C)COC(C)(C)COC(C)(C)CO,1.0865
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,1.38022
