smiles,value
CSCCCCCSCCCCCS,1.213
Cc1ccc(C(=O)N(C)CCN)cc1,1.16
CC(C)C(=O)OC1CCCCC1C(C)C(=O)OC1CCCCC1C,1.103333333
COc1cccc2ccc(OC(=O)c3ccccc3C=Cc3ccc(C=Cc4ccccc4C(=O)O)cc3)cc12,1.216
CC(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3cccc5c(N6C(=O)c7ccc(C)cc7C6=O)cccc35)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.404
CC(=O)NCCCCCCNC(=O)c1ccc(C)nc1,1.266
C=C=C=C(Cn1c2ccccc2c2ccccc21)C(=C)Cn1c2ccccc2c2ccccc21,1.305
CCC(C)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,1.186
COc1ccc(Oc2ccc(C(=O)c3ccc(O)cc3)cc2)cc1C,1.259666667
CCCCCCCCCCCCCCC(C(=O)NC)C(=O)NCCCCCCN,0.993
COc1ccc(C(C)(C)c2ccc(OC(=O)Sc3ccc(C(C)(C)c4ccc(SC(=O)O)cc4)cc3)cc2)cc1,1.194
COC(C)CS(=O)(=O)CCCOC(C)CS(=O)(=O)CCCO,1.292
CN1CCN(C(=O)CCCCCCCCC(N)=O)CC1,0.9261
CNC(=O)CCCCCCCCCCN,1.047738095
CCCCCCOC(=O)CCC(NC)C(N)=O,1.083333333
COC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)OCCO)cc2)cc1,1.213
CCCCCCCCCCCCCCCCCCN1C(=O)C(C)C(C(CC)c2ccccc2)C1=O,1.016
COC(=O)c1cccc(C(=O)OCCCO)c1,1.207
CCC(C)C#N,1.168877778
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(C(c4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C)cc7C6=O)cc5)c(C)c4)c4cccc5ccccc45)cc3C)cc1)C2=O,1.2382
Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(C(C)(C(F)(F)F)C(F)(F)F)cc4C3=O)c1C)C2=O,1.418
CCC1CCC(CC2CCC(C)C2)C1,1.076
C=C=C=C(COS(=O)(=O)c1ccc(F)cc1)C(=C)COS(=O)(=O)c1ccc(F)cc1,1.6015
COC(CC=O)CCOC(CC=O)CCO,1.28
Cc1ccc(NC(=O)c2ccc(C3(c4ccc(C(=O)Nc5ccc(C6(C)OC(=O)c7ccccc76)cc5)cc4)OC(=O)c4ccccc43)cc2)cc1,1.28
COC(F)(F)C(F)(F)C(F)(F)C(O)(F)F,1.775
COc1cccc(OC(=O)c2cccc(C(=O)O)c2)c1,1.34
CNC(C=O)CC(=O)OCCCNC(C=O)CC(=O)OCCCN,1.24
CN1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3ccc(N)cc3)C4=O)c2C1=O,1.3665
CNC(=O)CCCCCCCC(=O)NCCCCN,1.127
COC(C)CS(=O)(=O)COC(C)CS(=O)(=O)CO,1.442
C/C=C/CCCCC/C=C/CCCCCC,1.0295
CN(C=O)CCCCCCN(C=O)CCCCCCN,1.0
CCC(C)c1ccc(C(C)(C)C)cc1,0.94758
CC=Cc1ccc(N(C)CCOC(=O)Nc2ccc(C)c(NC(=O)OCCN(C)c3ccc(C=CC4=CC(=C(C#N)C#N)C=C(C)O4)s3)c2)s1,1.29
COc1c(C(=O)Oc2ccc(OC(=O)c3ccc4ccccc4c3Oc3nc(O)nc(N4CCCCC4)n3)c3c2C(=O)c2ccccc2C3=O)ccc2ccccc12,1.172
CC=Cc1sc(C)c(OCCCC)c1OCCCC,1.36
COC(=O)C1CCC(C(=O)OCC2CCC(CO)CC2)CC1,1.14
COCC(C)(CO)COCC(C)(CO)CO,1.144
C[Si](C)([SiH3])[SiH3],0.971
Cc1ccc2c(c1)C(=O)N(c1ccc(OCCOc3ccc(N4C(=O)c5ccc(C(C)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,1.4034
CSCC(C)(C)CSCC(C)(C)CS,1.098
Cc1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(C(c4ccc(NC(=O)c5cccc(N6C(=O)c7ccc(C(C)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)(C(F)(F)F)C(F)(F)F)cc3)c1)C2=O,1.427
CCCCN(CC(=O)OC)c1ccc(N=Nc2ccc(S(=O)(=O)CCCO)cc2)cc1,1.2
Cc1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(N3C(=O)c4ccc(C(C)(C(F)(F)F)C(F)(F)F)cc4C3=O)c1C)C2=O,1.351654545
CNC(=O)CCCCCCC(=O)NCCCCCCN,1.143
CCCCCCCCC(C)CCCCCCCC(C)C,0.8418
COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCCCCCO)cc2)cc1,1.423
COc1ccc2cc(C(=O)Oc3ccc(C(C)(C)c4ccc(OC(=O)c5ccc6cc(Oc7nc(O)nc(N8CCN(C)CC8)n7)ccc6c5)c(C)c4)cc3C)ccc2c1,1.135
COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCC3CCC(CO)CC3)cc2)cc1,1.18735
C=C(CO)COCC(=C)COC(=O)OC,1.332
CC1CC(C)(C#N)C1,1.1
COC(CC=O)C(C)COC(CC=O)C(C)CO,1.21
COCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,0.961904762
Cc1ccc2c(c1)C(=O)N(c1ccc3c(c1)-c1cc(N4C(=O)c5ccc(C(C)(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc1C3)C2=O,1.423
COC(C)CS(=O)(=O)CCOC(C)CS(=O)(=O)CCO,1.361
CCC(C)c1ccc(COc2ccc(OC)cc2)cc1,1.14
COc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(O)cc3)c2)cc1,1.26
