smiles,value
CCCCCCCCCCCCCC,0.40967205
CCCCCCCCC(C)CCCCCCCC(C)C,0.40501273
CCCCCCCCCC(C)CCCCCCCCC(C)C,0.41042216
CCC(C)(C)CC(C)(CC)CC(C)(CC)CC,0.3612215
CCC(C)(C)CC(C)(CC)CC(C)(CC)CC,0.39620363
CCC(C)(CC(C)(C)C(C)C)C(C)C,0.37444531
CCCC(C)(C)CC(C)(CC)CCC,0.4001286
CCCC(C)(CC)CC(CC)(CC)CCC,0.39226416
CCCCCCCC(C)CC(CC)CCCCCCC,0.40146108
Cc1ccccc1CCC(C)c1ccccc1CCC(C)C,0.3743389
CCCCCCCC(C)CCCCCCC(C)C,0.40777595
CCCCCCCCCCC(C)CC,0.40334594
CCCCCCCCCCCCC(C)CC,0.40857787
CCCCCCCCCCCCCCCCC(C)CC,0.40787312
CCC(C)(C)CC(C)CC(C)(C)CC(C)C,0.39627266
CCCC(C)(C)CC(C)(CC)CCC,0.39381473
CC=CCCCC=CCCCC=CCCCC,0.41369555
CC=CCCC=CCCC=CCCC,0.41866094
CCC(C)C(C)CC(CC)C(C)CC,0.38748444
CCCCCCCCCCCCCCC(C)CC,0.40318632
CC=CCCCCCCC=CCCCCCCC,0.40896445
CCC1CCCC(C(C)CC2CCCC(C(C)C)C2)C1,0.40571007
CCC1CCC(C(C)CC2CCC(C(C)C)CC2)CC1,0.39863974
CCC=C(C)CCCCCCCC(=CCC)CCCCCCCC,0.41315553
CCC=C(C)C(C)CC(=CCC)C(C)CC,0.40099098
CC=CC1CCC(C=CC2CCC(C)C2)C1,0.3888656
CC=CCCCCCCCCCCC,0.40688317
CC=CC=CC=CC=CC=CC=CC,0.42573737
CCC1(CC2(C)CCCCC2)CCCCC1,0.36650758
CCOCc1ccccc1C(C)COCc1ccccc1C(C)C,0.37399571
CCOCc1ccccc1C(C)CC,0.37386236
CCCOCc1ccccc1C(C)CC,0.37983884
CCC(C)c1ccccc1COC(C)C,0.38497632
CCCCOCc1ccccc1C(C)CC,0.38677194
CCCCCOCc1ccccc1C(C)CC,0.38189308
CCC(C)c1ccccc1COCCC(C)C,0.3832793
CCC(C)c1ccccc1COCc1ccccc1,0.35933332
CCC(C)c1ccccc1COCCc1ccccc1,0.36290546
CCC(C)c1ccccc1C(=O)NC,0.35557991
CCC(C)c1ccccc1C(=O)N(C)C,0.36482534
CCC(C)c1ccccc1C(=O)Nc1ccccc1,0.35753244
COC(=O)c1ccccc1C(C)OC(=O)c1ccccc1C(C)O,0.32924433
CCC(C)c1ccccc1C(=O)OC,0.35299495
CCOC(=O)c1ccccc1C(C)CC,0.36304161
CCC(C)c1ccccc1C(=O)OC(C)C,0.36610214
CCCCOC(=O)c1ccccc1C(C)CC,0.37028116
CCC(C)c1ccccc1C(=O)OCC(C)C,0.37502808
CCCCCOC(=O)c1ccccc1C(C)CC,0.37483446
CCC(C)c1ccccc1C(=O)OCCC(C)C,0.37558772
CCCCCCOC(=O)c1ccccc1C(C)CC,0.37464529
CCC(C)c1ccccc1C(=O)Oc1ccccc1,0.3593053
CCC(C)c1ccccc1C(=O)OCCN(C)C,0.36119268
CCC(C)c1ccc(C(=O)OCCN(C)C)cc1,0.37142885
CCC(C)c1cccc(F)c1,0.39194172
CCCc1ccc(C(C)CCc2ccc(C(C)C)cc2)cc1,0.4044765
CCCCCCc1ccc(C(C)CC)cc1,0.40375659
CCCCCCCCc1ccc(C(C)CC)cc1,0.40676664
CCCCCCCCCc1ccc(C(C)CC)cc1,0.39955076
CCCCCCCCCCc1ccc(C(C)CC)cc1,0.40394942
CCCCCCCCCCCCc1ccc(C(C)CC)cc1,0.40128707
CCCCCCCCCCCCCCc1ccc(C(C)CC)cc1,0.40253381
CCCCCCCCCCCCCCCCc1ccc(C(C)CC)cc1,0.40149462
CCCCCCCCCCCCCCCCCCc1ccc(C(C)CC)cc1,0.40382331
CCOCCOCc1ccc(C(C)CC)cc1,0.37466356
CCC(C)c1ccc(C#N)cc1,0.40396396
CCC(C)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.36402861
CCC(C)c1ccc(C(C)=NO)cc1,0.35867112
CCC(C)c1ccc(C(C)(C)O)cc1,0.3711129
CCC(C)c1ccc(C(C)(O)CC)cc1,0.37635976
CCCC(C)(O)c1ccc(C(C)CC)cc1,0.37492289
CCCCC(C)(O)c1ccc(C(C)CC)cc1,0.39130508
CCCCCC(C)(O)c1ccc(C(C)CC)cc1,0.39339807
CCC(C)c1ccc(C(O)CCN(C)C)cc1,0.39056968
CCC(C)c1ccc(C(O)CCN2CCCCC2)cc1,0.37433713
CCC(C)c1ccc(C(O)CCN2CCOCC2)cc1,0.35614962
CCC(C)c1ccc(COCCO)cc1,0.34743668
CCCCOCc1ccc(C(C)CC)cc1,0.38801598
CCC(C)c1ccc(COCCCCO)cc1,0.36446129
CCC(C)OCc1ccc(C(C)CC)cc1,0.38400866
CCCCOCCOCc1ccc(C(C)CC)cc1,0.37958253
CCC(C)c1ccc(C(=O)N(CC)CC)cc1,0.36711341
CCC(C)c1ccc(C(=O)N2CCCCC2)cc1,0.37271412
