smiles,value
CCOP(=O)(OC)OCCCCOc1ccc(C=C2CCC(=Cc3ccc(OCCCCO)c(OC)c3)C2=O)cc1OC,0.35140206
COC(=O)Nc1cc(NC(=O)OCCN(CCO)c2ccc(N=Nc3ccc(-c4nc5cc([N+](=O)[O-])ccc5[nH]4)cc3)cc2)ccc1C,0.35638392
CN1C(=O)c2ccc(Oc3ccc(Sc4ccc(Oc5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(Oc8ccc(N)cc8)cc7)cc5)C6=O)cc4)cc3)cc2C1=O,0.36605169
COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(O)cc5)c5ccccc5-c5ccccc54)cc3)cc2)cc1,0.39274981
COC(=O)c1ccc(-c2ccc(C(=O)OCCCCCO)cc2)cc1,0.34210366
COc1c(C)cc(C2(c3cc(C)c(OC(=O)c4cccc(C(=O)O)c4)c(C)c3)CCC3CCCCC3C2)cc1C,0.40660507
COC(=O)c1cc(OC2CCN(c3ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc3)CC2)cc(C(=O)OCCN(CCO)c2ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c1,0.34244923
CO[Si](C)(C)c1ccc([Si](C)(C)Oc2c(C)cc(-c3cc(C)c(O)c(C)c3)cc2C)cc1,0.39864657
CCC(C)n1c2ccccc2c2cc3ccccc3cc21,0.38102074
Cc1cc(N=Nc2ccc(C#N)cc2)cc(C)c1O,0.39563271
CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1c(C)cc(-c2cc(C)c(O)c(C)c2)cc1C,0.39230829
CC[SiH](C)c1ccc(C(C)C[SiH](C)c2ccc(C(C)C)cc2)cc1,0.42154947
CNc1ccc(C(c2ccc(NC(=O)c3cc(NC(=O)CCCCCN4C(=O)c5ccccc5C4=O)cc(C(N)=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.33696818
CN1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(C3CCC(N)CC3)C4=O)cc2C1=O,0.36716787
CCCCCCC1(CCCCCC)c2cc(C)ccc2-c2ccc(C)cc21,0.42664647
COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(Cc4ccc(O)cc4)cc3)cc2)cc1,0.37003696
CS(=O)(=O)c1ccc(C(=O)Nc2ccccc2-c2ccc(NC(=O)c3ccc(S)cc3)cc2)cc1,0.35178104
COC1C(C)(C)C(OC(=O)C2CCC(C(=O)O)CC2)C1(C)C,0.35756125
C[Si](O)(CCCCOc1ccc(-c2ccc(C#N)cc2)cc1)O[Si](C)(C)O[SiH3],0.38755299
CCCCCc1cc(C(=O)O)cc(C(=O)Oc2ccc(S(=O)(=O)c3ccc(OC)cc3)cc2)c1,0.36567786
CCCCCCC[N+](C)(C)CCOC(=O)C(C)(C)CC,0.48837644
CCC(C)(CO)COC(=O)c1ccc(-c2ccc(C(=O)OC)cc2)cc1,0.35540471
CCCCCCCCCC(Cl)C(C)Cl,0.39594162
COC(=O)COCCOC(=O)COCCO,0.31811694
COc1ccc(C(c2ccc(OC(=O)c3ccccc3-c3ccccc3C(=O)O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.3557624
Cc1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(C)c(-c7ccccc7)c(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,0.40987104
COc1ccc(OC(=O)c2cc(OCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(C(=O)O)c2)cc1,0.34786426
CCCCOc1cc(N2C(=O)c3ccc(C)cc3C2=O)cc(N2C(=O)c3ccc(C(C)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,0.38373514
COc1ccc(Oc2ccc(OC(=O)O)cc2)cc1,0.34396355
COc1c(C)cc(-c2cc(C)c(OC(=O)CCCCCCCCC(=O)O)c(C)c2)cc1C,0.36469857
CN=Nc1ccc(Nc2ccc(C(=O)c3ccc(C(=O)c4ccc(Nc5ccc(N)cc5)cc4)cc3)cc2)cc1,0.38946168
CC(=O)c1ccc(Oc2ccc(Oc3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc(C)cc7C6=O)cc4)C5=O)cc3)cc2)cc1,0.36785413
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(C)cc6C5=O)c3)C4=O)cc2)cc1,0.35285588
COc1ccc(C2(c3ccc(OC(=O)OC4C(C)(C)C(OC(=O)O)C4(C)C)cc3)CCCCC2)cc1,0.36225678
COc1ccc(C2(c3ccc(Oc4ccc5c(=O)n6c7cc(Oc8ccc9c(c8)nc8c%10ccc(O)c%11cccc(c(=O)n98)c%11%10)ccc7nc6c6cccc4c56)cc3)c3ccccc3-c3ccccc32)cc1,0.396728
Cc1ccc(C(=O)OCCCCCCCCOc2ccc(C=CC(=O)C=Cc3ccc(OCCCCCCCCOC(=O)c4ccc(-c5nnc(C)o5)cc4)cc3)cc2)cc1,0.36096728
CCC(C)C(C(=O)Nc1cc(C(N)=O)cc(C(=O)Nc2ccc(Cc3ccc(NC)cc3)cc2)c1)N1C(=O)c2ccccc2C1=O,0.35394467
CC(Oc1ccc(OC(=O)c2ccc(-c3ccc(OCCCCCCCCCC[Si](C)(C)O)cc3)cc2)cc1)C(=O)OCCCCCC[Si](C)(C)O[SiH3],0.38168515
COc1ccc(C(=O)OCCCCCCCOC(=O)c2ccc(OC(=O)c3ccc(C(=O)O)cc3)cc2)cc1,0.34460962
CN1C(=O)c2ccc(Oc3ccc4cc(Oc5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(-c8ccc(Oc9ccc(N)cc9)cc8)cc7)cc5)C6=O)ccc4c3)cc2C1=O,0.36600416
COc1ccc(NC(=C(C#N)C#N)c2ccc(C(Nc3ccc(O)cc3)=C(C#N)C#N)cc2)cc1,0.401116
COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OCC(O)CO)c(Cl)c2)cc1Cl,0.36746955
CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C6(c7ccc(Oc8ccc(N9C(=O)c%10ccc(C)cc%10C9=O)cc8)cc7)NC(=O)c7ccccc76)cc5)cc3)C4=O)cc2)cc1,0.36308192
CC(C)C(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,0.39846139
CNNC(=O)c1ccccc1C(=O)NCCCCCCNC(=O)c1ccccc1C(N)=O,0.33644066
CCCCCCN1c2ccc(C)cc2Sc2cc(-c3sc4cc(C)sc4c3CCCCC)ccc21,0.52516398
COC(=O)c1ccc(SCCCCSc2ccc(C(=O)O)cc2)cc1,0.36348377
Cc1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(C(c4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C(C)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,0.36985522
CN1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5cccc(Oc6cccc(N)c6)c5)c3)C4=O)c2C1=O,0.35957648
