smiles,value
CC(=O)OCCN(CCOC(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C)cc5C4=O)c(C)c3)cc1C)C2=O)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,326.0
COc1ccc(C=Nc2ccc(-c3ccc(N=Cc4ccc(OC(=O)c5cccc(C(=O)O)c5)c(OC)c4)cc3)cc2)cc1OC,200.0
C=Nc1ccc(-c2ccc(N=Cc3cc(OCCCCCCCCCCCC)c(C=N)cc3OCCCCCCCCCCCC)cc2)cc1,390.0
COC(=O)c1ccc(C(=O)OCCCC(=O)Nc2ccc(NC(=O)CCCO)cc2)cc1,325.0
COc1ccc(OC(=O)c2ccc(C(=O)O)cc2Oc2ccccc2)cc1,388.0
CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc4c(c3)C(c3ccc(-c5nnc(-c6ccc(C(C)(C)C)cc6)o5)cc3)(c3ccc(-c5nnc(-c6ccc(C(C)(C)C)cc6)o5)cc3)c3cc(C)ccc3-4)cc21,403.0
COc1ccc(-c2ccc(OC(=O)c3ccc(C(=O)O)cc3Sc3ccc4ccccc4c3)cc2)cc1,441.0
COc1ccc(C=Nc2ccc(-c3ccc(N=Cc4ccc(OC(=O)c5ccc(C(=O)O)cc5)c(OC)c4)cc3)cc2)cc1OC,230.0
Cc1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(-c4nnc(-c5ccc(-c6nnc(C)o6)c(Oc6ccccc6)c5)o4)cc3)c2)cc1,365.0
Cc1cc2sc(-c3sc(-c4cc(CCCCCCCCCCBr)c(C)s4)cc3CCCCCCCCCCBr)cc2s1,340.0
CNc1cccc(C(=O)c2ccc(NC(=O)c3cccc(C(=O)c4ccc(C(N)=O)cc4)c3)cc2)c1,388.0
C[SiH](C[SiH](C[SiH3])c1ccccc1)c1ccccc1,550.0
CN1C(=O)c2cccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N)cc6)cc5)cc3)C4=O)c2C1=O,486.0
COc1nc(OC)nc(Oc2ccc(Oc3ccc(P(=O)(c4ccccc4)c4ccc(Oc5ccc(O)cc5)cc4)cc3)cc2)n1,444.0
CN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCC(=O)Nc3ccc(Oc5ccc(NC(=O)CCCN)cc5)cc3)C4=O)cc2C1=O,402.0
COc1ccc(Oc2ccc(S(=O)(=O)c3ccc(O)cc3)cc2)cc1-c1cccc(O)c1,254.0
CN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N)cc5)cc3)C4=O)cc2C1=O,478.074
COc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(OCCOCCOCCOCCO)cc5)cc4)cc3)cc2)cc1,370.0
COc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4c(C(=O)c5ccc(O)cc5)c(-c5ccccc5)c(-c5ccc6ccccc6c5)c(-c5ccc6ccccc6c5)c4-c4ccccc4)cc3)cc2)cc1,515.0
CN(Cc1cccc(CN)c1O)c1ccccc1,300.0
CC=CC1CC(C)C(C(=O)OCCN(C)C)C1,306.0
CNc1ccccc1CCc1ccccc1NC(=O)Nc1ccc(CCc2ccc(NC(N)=O)cc2)cc1,330.0
COc1cccc2c(OC3(F)C(O)(F)C(F)(F)C3(F)F)cccc12,359.4
