smiles,value
Cc1ccc2oc(-c3ccc(-c4nc5cc(C(C)(c6ccccc6)C(F)(F)F)ccc5o4)cc3)nc2c1,369.0
CC(=O)c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(C)s4)cc3)cc2)s1,124.0
CCOC(=O)C(=O)OC(CO)C(COC(=O)OC)OC(=O)C(=O)OCC,51.38
CCC(c1ccccc1)C1C(=O)NC(=O)C1C,257.67
CC(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(C)cc4C3=O)cc2)cc1,107.0
CC(=O)Nc1c(C)cc(C)c(NC(=O)c2ccc3c(c2)C(=O)N(c2c(C)cc(C)c(N4C(=O)c5ccc(C)cc5C4=O)c2C)C3=O)c1C,288.0
CNC(=O)c1cc(C(=O)NCCC(C)C(C)CCN)cc(C(C)(C)C)c1,173.0
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(C)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,368.2
CCCCCCC(F)COc1ccc(C(=O)Oc2ccc(-c3ccc(OCCCCCCCCCCOC(=O)c4cc(C)sc4C)cc3)cc2)cc1,151.0
CNc1ccc(NC(=O)c2ccc(C(N)=O)cc2)cc1,302.4
COc1ccc(C2(C)CCC(C(C)(C)c3ccc(Oc4ccc(C(=O)c5ccc(O)cc5)cc4)cc3)CC2)cc1,200.0
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C)cc4C3=O)cc1)C2=O,328.57
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(Oc5ccc(-c6cc(C)nc7ccccc67)cc5)cc4)c4ccccc4n3)cc2)cc1,275.67
COc1ccc(C2(c3ccc(OC(=O)O)cc3C)CC3CC2C2C4CCC(C4)C32)cc1C,232.0
CCOCCOCCOC(=O)C(Cc1ccc(OC)cc1)NC(=O)CCc1ccc(OC(=O)CCCCCCCCC(=O)O)cc1,2.0
CNC(=O)CCCCCCCCCCCCCCCCC(=O)NCCCCCCCCN,36.0
CN(CCN)C(=O)c1c(F)c(F)cc(F)c1F,122.0
CC(=O)Nc1ccc(-c2sc(-c3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc7c(Oc8ccc(N9C(=O)c%10ccc(C)cc%10C9=O)cc8)cccc67)cc4)C5=O)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,340.0
COc1ccc(-c2ccc(Oc3ccc(C(=O)c4ccc(C(=O)c5ccc(O)cc5)cc4)cc3)cc2)cc1,173.0
COC(=O)CCCCC(=O)OCCCCO,-70.49
COc1cccc(NC(=O)c2cc(NC(=O)c3ccc(OC(C)=O)cc3)cc(C(=O)Nc3ccc(O)cc3)c2)c1,251.0
CC(C)COCC1OC(=O)OC1C(C)COCC1OC(=O)OC1C,-30.0
C[Si](O)(CCCOc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1)O[SiH3],9.2
CCC(C)(C)C(=O)OCCC[Si]12O[Si]3(CC(C)C)O[Si]4(CC(C)C)O[Si](CC(C)C)(O1)O[Si]1(CC(C)C)O[Si](CC(C)C)(O2)O[Si](CC(C)C)(O3)O[Si](CC(C)C)(O4)O1,85.0
CC1(F)OC(C(F)(F)F)(C(F)(F)Cl)OC1(C)F,330.0
CCOC(=O)C(Cc1ccc(OC)cc1)NC(=O)CCc1ccc(OC(=O)CCCCC(=O)O)cc1,58.8
CCC(C)(C)C(=O)OCc1cccc(Cl)c1Cl,42.6
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc(C)cc5C4=O)cc3)cc1)C2=O,337.0
COc1cc(-c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5cccc6c(N7C(=O)c8ccc(C)cc8C7=O)cccc56)cc3)C4=O)c(OC)c2)ccc1NC(C)=O,304.0
CC=CC1CC(C)C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)F,77.0
CC(=O)OC1CC(C)N(C(=O)OCc2ccccc2)C1,78.0
COCCOCCNC(=O)Nc1ccc(Cc2ccc(NC(=O)NCCO)cc2)cc1,8.0
Cc1ccc2c(c1)C(=O)N(c1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc3ccc(N4C(=O)c5ccc(C(C)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,285.0
COC(C)(C)COC(C)(C)COC(C)(C)CO,92.0
COc1ccc(C(=O)c2cccc(C(=O)c3ccc(O)c(C(C)C)c3)c2)cc1C,147.0
COc1ccc(C(C)(C)c2ccc(OCC(CO)OC(=O)c3ccccc3)cc2)cc1,65.0
COc1cccc(NC(=O)c2cc(C(=O)Nc3ccc(O)cc3)cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1,230.0
CCCCCCCCCCCCCCc1ccc(C(C)CC)cc1,-36.0
CCC(C)(C)N1C(=O)CC(CC(C)(C)N2C(=O)CC(C)C2=O)C1=O,195.0
CCC(=O)c1ccc(C(C)CC(=O)c2ccc(C(C)C)cc2)cc1,115.5
CCc1cccc(CC)c1N1C(=O)C(C)C(C(C)(C)CC)C1=O,210.0
Cc1cnccc1C(=O)OC(C)c1cnccc1C(=O)OC(C)C,98.5
CCC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,17.5
COC(C)CSCOC(C)CSCO,-37.0
CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOCCOc3ccc(N4C(=O)c5ccc(C)cc5C4=O)cc3)cc1)C2=O,235.0
CCC(C)C(=O)Oc1ccccc1C,51.5
CC(F)(F)C1(F)C(F)(F)C(C)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,198.0
COc1cccc2c(OC3(F)C(O)(F)C(F)(F)C3(F)F)cccc12,124.8
CCC(C)C(C)CC(C)C(C)CC(C)C(C)C,10.97
Cc1cc(C(C)(C)c2cc(C)c(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C6(c7ccc(Oc8ccc(N)cc8)cc7)CC7CCC6C7)cc5)cc3)C4=O)c(C)c2)cc(C)c1Oc1ccc2c(c1)C(=O)N(C)C2=O,265.0
CCC(C)(C)C(=O)OCc1cc(Cl)cc(Cl)c1,29.95
COC(=O)c1cc(OCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc(C(=O)OCCOCCOCCOCCOCCOCCO)c1,5.0
CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cocc3C)cc2)cc1,45.0
CCCCOC(=O)C(Cc1ccc(OC)cc1)NC(=O)CCc1ccc(OC(=O)CCCC(=O)O)cc1,53.67
Cc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(C)OC(=O)c5ccccc54)cc3)cc2)cc1,279.0
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(-c6cccc(C)n6)cc5C(F)(F)F)cc4)c4ccccc4-c4ccccc43)cc2)c(C(F)(F)F)c1,182.5
CC(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccc(C)cc5C4=O)c3)c1)C2=O,245.81
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Br)cc2-c2ccc(NC(=O)c3ccc(S)cc3)cc2)cc1,288.0
Cc1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5cccc(N6C(=O)c7ccc(C(C)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)cc3)c1)C2=O,209.5
Cc1cc(N=Nc2ccc(C#N)cc2)cc(C)c1O,176.0
