psmiles,value
*OC(=O)c1cc(ccc1)C(=O)OCCCCCCCCCC*,1.034
*C(C*)C(=O)OC(C)C,1.13
*O[Si](*)(C)C,0.963398
*NC(=O)C(C*)(C)C,1.189
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)NC(=O)*)cc1,1.37
*c1cc2c(C(=O)N(C2=O)c2c(cc(cc2C)Cc2cc(c(c(c2)C(C)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)C(C)C)cc1,1.27
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,1.362976923
*OC(=O)CCCCCN(c1ccc(cc1)N=Nc1ccc(cc1)S(=O)(=O)CCCCCC*)C,1.18
*C(CC(C*)c1ccc(cc1)CCl)(C#N)C#N,1.18
*NC(=O)CCCCCCCCC(=O)NCCCCCC*,1.085142857
*c1c(cc(cc1)C#Cc1c(cc(c(c1)OCCOCCOC)C#C*)OCCOCCOC)[N+](=O)[O-],1.138
*Oc1ccc(cc1)C1(c2ccccc2-c2ccccc12)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*,1.211
*OC(COC(=O)*)C,1.26
*c1nc(nc(n1)Oc1cc2c(cc1)cc(cc2)C(=O)Oc1c2C(=O)c3c(C(=O)c2c(cc1)OC(=O)c1cc2c(cc1)cc(cc2)O*)cccc3)N1CCN(CC1)C,1.184
*c1nc(nc(n1)Oc1c2c(ccc1C(=O)OCCOCCOC(=O)c1c(c3c(cc1)cccc3)O*)cccc2)N1CCCCC1,1.124
*C(=CCCC*)c1ccc(cc1)Cl,1.173
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(c(c(c2)C(=O)OCCCCCCCCCCCCCCCC)c2c(cc(cc2Br)*)C(=O)OCCCCCCCCCCCCCCCC)Br)cc1,1.18
*c1cc2c(C(=O)N(C2=O)c2c(cc(cc2C)c2cc(c(c(c2)C)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)C)C)cc1,1.272
*NC(=O)c1cc2c(C(CC2(c2ccc(cc2)C(=O)NCCCCCC*)C)(C)C)cc1,1.121
*C(C*)C(=O)SCC(C)C,1.299
*NC(C(=O)*)CCC(=O)OCc1ccccc1,1.276875
*N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,1.332
*N(C(=O)*)CCCC,1.1
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)*)cc1,1.452344167
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)C(C)C,1.18
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2ccc(cc2)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,1.40379
*C(C(CC*)c1ccccc1)c1ccccc1,0.997
*c1nc(nc(n1)Oc1c2c(ccc1C(=O)Oc1c(cccc1)OC(=O)c1c(c3c(cc1)cccc3)O*)cccc2)N1CCCCC1,1.2
*NC(C(=O)NCCCCC(=O)*)C,1.08
*c1cc2c(C(=O)N(C2=O)c2cc(c(c(c2)C)c2c(cc(cc2C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)C)cc1,1.355
*C1CCN(CC1)c1sc(cc1)C=CC1=CC(=C(C#N)C#N)C=C(O1)C=Cc1sc(cc1)N1CCC(CC1)OC(=O)Nc1c(ccc(c1)NC(=O)O*)C,1.28
*C(CC(C*)(c1ccc(cc1)OC(=O)CC)OC(=O)C)(C#N)C#N,1.21
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)CCCCCCCC*)cc1,1.335
*OC(=O)OCC(=C)COCC(=C)C*,1.332
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)NC(=O)*)cc1,1.46
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C(c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,1.463
*C1C2C(C(=O)N(C2=O)CCCC)C(C1)C=C*,1.15
*SC(C*)COCC=C,1.117
*OC(C*)(C)C,1.0865
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,1.38022
*C1OC(C(C(C1O)O)O)OC*,0.98
*C1CC(CC1)C*,1.076
*c1nc(nc(n1)Oc1cc2c(cc1)cc(cc2)C(=O)Oc1c(cccc1)OC(=O)c1cc2c(cc1)cc(cc2)O*)N1CCN(CC1)C,1.191
*C(C*)c1ccc(cc1)OC,1.0635
*c1cc2c(C(=O)N(C2=O)c2c(cccc2)C(=O)OCCOC(=O)*)cc1,1.14
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc2Cc3c(-c2cc1)ccc(c3)*,1.46373
*C(=C(F)F)C(*)(F)F,1.99
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2cc(ccc2)C=CC(=O)C=Cc2cc(ccc2)NC(=O)*)cc1,1.24
*NC(=O)CCCCC(=O)NCCCCCCCCCCC*,1.066
*OC(=O)C*,1.583142857
*NC(C(=O)*)CCC(=O)OCCCCCCCC,1.05
*C(C*)C(=O)OCCCCCCCCCCCCCCCCCC,0.9754
*c1cc2c(C(=O)N(C2=O)c2c(cc(cc2C(C)C)Cc2cc(c(c(c2)C(C)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C(C)C)C(C)C)cc1,1.2
*Oc1c(cc(c(c1)C(=O)c1ccccc1)Oc1ccc(cc1)*)C(=O)c1ccccc1,1.2864
*NC(=O)CCCCCCCCC(=O)NCCCC*,1.1045
*NC(=O)CCCCCCCCCCC(=O)NCCCCCCCCCCCC*,1.02325
