psmiles,value
*C*,0.40967205
*C(C*)CCCCCCC,0.40501273
*C(C*)CCCCCCCC,0.41042216
*C(C*)(CC)C,0.3612215
*C(CC*)(C)C,0.39620363
*C(C(C*)C)(C)C,0.37444531
*C(CCC*)(C)C,0.4001286
*C(CCC*)(CC)C,0.39226416
*C(CCCCCCC*)C,0.40146108
*C(C*)CCc1ccccc1,0.3743389
*C(C*)CCCCCC,0.40777595
*C(C*)CCCCCCCCCC,0.40334594
*C(C*)CCCCCCCCCCCC,0.40857787
*C(C*)CCCCCCCCCCCCCCCC,0.40787312
*C(C*)CC(C)(C)C,0.39627266
*C(C*)(CCC)C,0.39381473
*C=CCCC*,0.41369555
*C=CCC*,0.41866094
*C(C(CC*)C)C,0.38748444
*C(C*)CCCCCCCCCCCCCC,0.40318632
*C=CCCCCCC*,0.40896445
*C(C*)C1CC(CCC1)C,0.40571007
*C(C*)C1CCC(CC1)C,0.39863974
*C(=CCC*)CCCCCCC,0.41315553
*C(=CCC*)C(C)C,0.40099098
*C1CC(CC1)C=C*,0.3888656
*C=CCCCCCCCCCC*,0.40688317
*C=C*,0.42573737
*C1(CCCCC1)C*,0.36650758
*C(C*)c1c(cccc1)COC,0.37399571
*C(C*)c1c(cccc1)COCC,0.37386236
*C(C*)c1c(cccc1)COCCC,0.37983884
*C(C*)c1c(cccc1)COC(C)C,0.38497632
*C(C*)c1c(cccc1)COCCCC,0.38677194
*C(C*)c1c(cccc1)COCCCCC,0.38189308
*C(C*)c1c(cccc1)COCCC(C)C,0.3832793
*C(C*)c1c(cccc1)COCc1ccccc1,0.35933332
*C(C*)c1c(cccc1)COCCc1ccccc1,0.36290546
*C(C*)c1c(cccc1)C(=O)NC,0.35557991
*C(C*)c1c(cccc1)C(=O)N(C)C,0.36482534
*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,0.35753244
*C(C*)c1c(cccc1)C(=O)O,0.32924433
*C(C*)c1c(cccc1)C(=O)OC,0.35299495
*C(C*)c1c(cccc1)C(=O)OCC,0.36304161
*C(C*)c1c(cccc1)C(=O)OC(C)C,0.36610214
*C(C*)c1c(cccc1)C(=O)OCCCC,0.37028116
*C(C*)c1c(cccc1)C(=O)OCC(C)C,0.37502808
*C(C*)c1c(cccc1)C(=O)OCCCCC,0.37483446
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,0.37558772
*C(C*)c1c(cccc1)C(=O)OCCCCCC,0.37464529
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,0.3593053
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,0.36119268
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,0.37142885
*C(C*)c1cc(ccc1)F,0.39194172
*C(C*)c1ccc(cc1)CC,0.4044765
*C(C*)c1ccc(cc1)CCCCCC,0.40375659
*C(C*)c1ccc(cc1)CCCCCCCC,0.40676664
*C(C*)c1ccc(cc1)CCCCCCCCC,0.39955076
*C(C*)c1ccc(cc1)CCCCCCCCCC,0.40394942
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,0.40128707
