psmiles,value
*C*,382.5
*C(C*)C,394.6125
*C(C*)c1ccccc1,331.8933333
*C(C*)c1ccc(cc1)C,318
*C(C*)c1ccc(cc1)F,368
*C(C*)c1ccncc1,325
*C(C*)C#N,212
*C1c2c(CC1*)cccc2,357
*C(=C(*)C)[Si](C)(C)C,390
*C(C*)C(=O)O,425
*C(C*)C(=O)OCCCC,327.5
*C(C*)C(=O)OC(C)(C)C,241
*C(C*)(C(=O)OC)C,269.575
*C(C*)(C(=O)OCC)C,231.6666667
*C(C*)(C(=O)OCCC)C,246
*C(C*)(C(=O)OC(C)C)C,217
*C(C*)(C(=O)OCCCC)C,179
*C(C*)(C(=O)OC(CC)C)C,223
*C(C*)(C(=O)OCC(C)C)C,166
*C(C*)(C(=O)OC(C)(C)C)C,224
*C(C*)(C(=O)Oc1ccccc1)C,242
*C(C*)(C(=O)OCCO)C,286
*C(C*)(C(=O)OCCN(C)C)C,159.1
*C(C*)(C(=O)OCCCCC)C,285
*C(C*)(C(=O)N)C,291
*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)c1ccc(cc1)OC)C,323
*C(C*)(C(=O)OCC#C)C,280
*C(C*)Cl,240.6666667
*C(*)(F)F,522.5571429
*OCC*,310.81
*OC(C*)c1ccccc1,310
*Oc1c(cc(cc1C)*)C,430
*Oc1c(cc(cc1OC)*)OC,350
*Oc1ccc(cc1)C(=O)NCC(CCCNC(=O)c1ccc(cc1)*)(C)C,316
*Oc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*,427
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)*,460
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,500.5
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C,483.4
*c1oc2c(n1)ccc(c2)c1ccc2c(oc(n2)CCCCCCCC*)c1,300
*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,572.325
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*)(C)C,501
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F,521
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)*,523
*Oc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,494
*Oc1cc(ccc1)NC(=O)CCCCC(=O)Nc1ccc(cc1)*,340
*Oc1ccc(cc1)NC(=O)CCCCC(=O)Nc1ccc(cc1)*,370
*Oc1cc(ccc1)NC(=O)CCCCCCCC(=O)Nc1ccc(cc1)*,370
*Oc1ccc(cc1)NC(=O)CCCCCCCC(=O)Nc1ccc(cc1)*,340
*Oc1cc(ccc1)NC(=O)CCCCCCCCCCC(=O)Nc1ccc(cc1)*,360
*Oc1ccc(cc1)NC(=O)CCCCCCCCCCC(=O)Nc1ccc(cc1)*,370
*Oc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)Oc1c(cc(cc1)C=Nc1ccc(cc1)*)OC)OC,200
*Oc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)Oc1c(cc(cc1)C=Nc1ccc(cc1)*)OC)OC,190
*Oc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)Oc1c(cc(cc1)C=Nc1ccc(cc1)*)OC)OC,280
*Oc1cc(ccc1)NC(=O)CCCCCC(=O)Nc1ccc(cc1)*,340
*Oc1ccc(cc1)NC(=O)CCCCCC(=O)Nc1ccc(cc1)*,340
*Oc1cc(ccc1)NC(=O)CCCCCCCCC(=O)Nc1ccc(cc1)*,370
*Oc1ccc(cc1)NC(=O)CCCCCCCCC(=O)Nc1ccc(cc1)*,370
*Oc1cc(ccc1)NC(=O)CCCCCCC(=O)Nc1ccc(cc1)*,360
*Oc1ccc(cc1)NC(=O)CCCCCCC(=O)Nc1ccc(cc1)*,340
*Oc1cc(ccc1)NC(=O)CCCCCCCCCC(=O)Nc1ccc(cc1)*,360
*Oc1ccc(cc1)NC(=O)CCCCCCCCCC(=O)Nc1ccc(cc1)*,360
*c1nc2c(c(c1)c1ccccc1)cc(cc2)Oc1cc2c(nc(cc2c2ccccc2)c2ccc(cc2)Oc2ccc(cc2)*)cc1,630
*OC(COC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)OCC(*)(F)F)(F)F)(F)F)(F)F)(F)F,340
*OC(COC(=O)c1cc(ccc1)C(=O)OCC(*)(F)F)(F)F,380
*OC(COC(=O)c1cc(cc(c1)OCCCCC)C(=O)OCC(*)(F)F)(F)F,380
*c1sc(c(c1OCCCC)OCCCC)C=C*,300
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*)(C)C,491
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F,523
*Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*,500
*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*,493
*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C)C(=O)c1ccccc1,475
*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F)C(=O)c1ccccc1,500
*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)c1ccc(cc1)*)C(=O)c1ccccc1,473
*Oc1ccc(cc1)Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)*)C(=O)c1ccccc1,462
*c1sc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)*)(C)C,393.8
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,493
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,467
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,484
